12000098,11625225,13146225,2764612,2016542,8365071,17.35,71.96,15.34,63.63
12000099,11390308,13009593,2259300,1872599,8877694,16.44,77.94,14.39,68.24
12000100,11488807,12961071,2850776,1978599,8131696,17.22,70.78,15.27,62.74
12000101,12429290,12679490,544836,3193314,8941340,25.69,71.94,25.18,70.52
12000102,10065708,12082545,2324664,2168545,7589336,21.54,75.40,17.95,62.81
12000103,7691262,8969745,2390460,1433985,5145300,18.64,66.90,15.99,57.36
12000104,11781837,13136637,2619848,2077610,8439179,17.63,71.63,15.82,64.24
12000105,11687393,13033793,2651092,2095286,8287415,17.93,70.91,16.08,63.58
12000106,11166190,12308590,2655304,2443346,7209940,21.88,64.57,19.85,58.58
12000107,11334521,12384521,2695680,2038325,7650516,17.98,67.50,16.46,61.77
12000108,11895944,12963720,2020804,1416636,9526280,11.91,80.08,10.93,73.48
12000109,11932822,12907222,3409500,1484367,8013355,12.44,67.15,11.50,62.08
12000110,12008603,12657914,3433776,1934100,7290038,16.11,60.71,15.28,57.59
12000111,10662608,12037659,2696340,2008886,7332433,18.84,68.77,16.69,60.91
12000112,11200238,12560438,2733312,2170256,7656870,19.38,68.36,17.28,60.96
12000113,9640602,11140450,2816940,1504983,6818527,15.61,70.73,13.51,61.21
12000114,11535105,13083705,2781184,1986685,8315836,17.22,72.09,15.18,63.56
12000115,10927317,12134783,2846984,1968719,7319080,18.02,66.98,16.22,60.31
12000116,10748738,11917769,2760452,1764356,7392961,16.41,68.78,14.80,62.03
12000117,9518985,10496846,2824816,1336152,6335878,14.04,66.56,12.73,60.36
12000118,11604751,13079548,2262712,2052592,8764244,17.69,75.52,15.69,67.01
12000119,8183041,9142303,2411416,1246596,5484291,15.23,67.02,13.64,59.99
12000120,12447234,13859802,2558312,2278850,9022640,18.31,72.49,16.44,65.10
12000121,12094448,13134848,2001144,2187014,8946690,18.08,73.97,16.65,68.11
12000122,12214120,13175215,1537560,3182315,8455340,26.05,69.23,24.15,64.18
12000123,9810481,11107793,2614140,1675483,6818170,17.08,69.50,15.08,61.38
12000124,11536061,13021948,2792672,2114593,8114683,18.33,70.34,16.24,62.32
12000125,10275351,11355905,2585860,1505619,7264426,14.65,70.70,13.26,63.97
12000126,10654124,11527999,2797708,1373078,7357213,12.89,69.06,11.91,63.82
12000128,10633613,11626973,2418360,1574152,7634461,14.80,71.80,13.54,65.66
12000129,11643149,13146602,2647500,2135190,8363912,18.34,71.84,16.24,63.62
12000130,9750244,10927701,2897492,1429258,6600951,14.66,67.70,13.08,60.41
12000131,10186564,11379964,2254676,1808424,7316864,17.75,71.83,15.89,64.30
12000132,7975170,9473645,2278288,1233099,5962258,15.46,74.76,13.02,62.94
12000133,10172125,12427354,2356388,1836428,8234538,18.05,80.95,14.78,66.26
12000134,12051435,13477111,2541432,2366454,8569225,19.64,71.11,17.56,63.58
12000135,10020346,11439346,2410856,1745973,7282517,17.42,72.68,15.26,63.66
12000136,11292846,12881255,1857928,2644888,8378439,23.42,74.19,20.53,65.04
12000137,9651865,10566417,2134280,1222379,7209758,12.66,74.70,11.57,68.23
12000138,11487876,13013076,2718240,1994065,8300771,17.36,72.26,15.32,63.79
12000139,10275606,11784031,2789676,1759272,7235083,17.12,70.41,14.93,61.40
12000140,11649927,13212327,2842932,1944284,8425111,16.69,72.32,14.72,63.77
12000141,10930255,12329455,2430576,1826364,8072515,16.71,73.85,14.81,65.47
12000142,11332020,12544643,2263520,1642684,8638439,14.50,76.23,13.09,68.86
12000143,12061572,13544986,2707776,2608112,8229098,21.62,68.23,19.26,60.75
12000144,10763937,12256954,2968268,1841132,7447554,17.10,69.19,15.02,60.76
